01-01B,מֵעַ֣ל לָרָקִ֑יעַ וֽ͏ַיְהִי־כֵֽן׃,וֽ͏ַיְהִי־כֵֽן׃ 16וַיַּ֣עַשׂ אֱלֹהִ֔ים אֶת־,נֶ֤פֶשׁ חַיָּה֙ לְמִינָ֔הּ בְּהֵמָ֥ה וָרֶ֛מֶשׂ
01-01B, 8וַיִּקְרָ֧א אֱלֹהִ֛ים לָֽרָקִ֖יעַ,שְׁנֵ֥י הַמְּאֹרֹ֖ת הַגְּדֹלִ֑ים,וְחַֽיְתוֹ־אֶ֖רֶץ לְמִינָ֑הּ וַֽיְהִי־כֵֽן׃ 
01-01B,שָׁמָ֑יִם וַֽיְהִי־עֶ֥רֶב וַֽיְהִי־בֹ֖קֶר,אֶת־הַמָּא֤וֹר הַגָּדֹל֙ לְמֶמְשֶׁ֣לֶת,25וַיַּ֣עַשׂ אֱלֹהִים֩ אֶת־חַיַּ֨ת הָאָ֜רֶץ
01-01B,י֥וֹם שֵׁנִֽי׃ פ ,הַיּ֔וֹם וְאֶת־הַמָּא֤וֹר הַקָּטֹן֙,לְמִינָ֗הּ וְאֶת־הַבְּהֵמָה֙ לְמִינָ֔הּ
01-01B,9וַיֹּ֣אמֶר אֱלֹהִ֗ים יִקָּו֨וּ הַמַּ֜יִם,לְמֶמְשֶׁ֣לֶת הַלַּ֔יְלָה וְאֵ֖ת,וְאֵ֛ת כָּל־רֶ֥מֶשׂ הָֽאֲדָמָ֖ה לְמִינֵ֑הוּ
01-01B,מִתַּ֤חַת הַשָּׁמַ֙יִם֙ אֶל־מָק֣וֹם,הַכּוֹכָבִֽים׃ 17וַיִּתֵּ֥ן אֹתָ֛ם,וַיַּ֥רְא אֱלֹהִ֖ים כִּי־טֽוֹב׃ 26וַיֹּ֣אמֶר
01-01B,אֶחָ֔ד וְתֵרָאֶ֖ה הַיַּבָּשָׁ֑ה וַֽיְהִי־,אֱלֹהִ֖ים בִּרְקִ֣יעַ הַשָּׁמָ֑יִם,אֱלֹהִ֔ים נַֽעֲשֶׂ֥ה אָדָ֛ם בְּצַלְמֵ֖נוּ
01-01B,כֵֽן׃ 10וַיִּקְרָ֨א אֱלֹהִ֤ים ׀ לַיַּבָּשָׁה֙,לְהָאִ֖יר עַל־הָאָֽרֶץ׃ 18וְלִמְשֹׁל֙ ,כִּדְמוּתֵ֑נוּ וְיִרְדּוּ֩ בִדְגַ֨ת הַיָּם֙ 
,,,
02-02A,וּבְע֣וֹף הַשָּׁמַ֗יִם וּבַבְּהֵמָה֙,עָשָׂ֑ה וַיִּשְׁבֹּת֙ בַּיּ֣וֹם הַשְּׁבִיעִ֔י,ט֥וֹב וָרָֽע׃ 10וְנָהָר֙ יֹצֵ֣א מֵעֵ֔דֶן
02-02A,וּבְכָל־הָאָ֔רֶץ וּבְכָל־הָרֶ֖מֶשׂ,מִכָּל־מְלַאכְתּ֖וֹ אֲשֶׁ֥ר עָשָֽׂה׃,לְהַשְׁק֖וֹת אֶת־הַגָּ֑ן וּמִשָּׁם֙
02-02A,הֽ͏ָרֹמֵ֥שׂ עַל־הָאָֽרֶץ׃ 27וַיִּבְרָ֨א, 3וַיְבָ֤רֶךְ אֱלֹהִים֙ אֶת־י֣וֹם,יִפָּרֵ֔ד וְהָיָ֖ה לְאַרְבָּעָ֥ה
02-02A,אֱלֹהִ֤ים ׀ אֶת־הֽ͏ָאָדָם֙ בְּצַלְמ֔וֹ,הַשְּׁבִיעִ֔י וַיְקַדֵּ֖שׁ אֹת֑וֹ כִּ֣י ב֤וֹ,רָאשִֽׁים׃ 11שֵׁ֥ם הָֽאֶחָ֖ד פִּישׁ֑וֹן
02-02A,בְּצֶ֥לֶם אֱלֹהִ֖ים בָּרָ֣א אֹת֑וֹ זָכָ֥ר,שָׁבַת֙ מִכָּל־מְלַאכְתּ֔וֹ אֲשֶׁר־,ה֣וּא הַסֹּבֵ֗ב אֵ֚ת כָּל־אֶ֣רֶץ
02-02A,וּנְקֵבָ֖ה בָּרָ֥א אֹתָֽם׃ 28וַיְבָ֣רֶךְ,בָּרָ֥א אֱלֹהִ֖ים לַעֲשֽׂוֹת׃ פ ,הַֽחֲוִילָ֔ה אֲשֶׁר־שָׁ֖ם הַזָּהָֽב׃
02-02A,אֹתָם֮ אֱלֹהִים֒ וַיֹּ֨אמֶר לָהֶ֜ם,, 12וּֽזֲהַ֛ב הָאָ֥רֶץ הַהִ֖וא ט֑וֹב
02-02A,אֱלֹהִ֗ים פְּר֥וּ וּרְב֛וּ וּמִלְא֥וּ אֶת־,4אֵ֣לֶּה תוֹלְד֧וֹת הַשָּׁמַ֛יִם וְהָאָ֖רֶץ,שָׁ֥ם הַבְּדֹ֖לַח וְאֶ֥בֶן הַשֹּֽׁהַם׃ 
02-02A,הָאָ֖רֶץ וְכִבְשֻׁ֑הָ וּרְד֞וּ בִּדְגַ֤ת,בְּהִבָּֽרְאָ֑ם בְּי֗וֹם עֲשׂ֛וֹת יְהוָ֥ה,13וְשֵֽׁם־הַנָּהָ֥ר הַשֵּׁנִ֖י גִּיח֑וֹן ה֣וּא
02-02A,הַיָּם֙ וּבְע֣וֹף הַשָּׁמַ֔יִם וּבְכָל־,אֱלֹהִ֖ים אֶ֥רֶץ וְשָׁמָֽיִם׃ 5וְכֹ֣ל ׀,הַסּוֹבֵ֔ב אֵ֖ת כָּל־אֶ֥רֶץ כּֽוּשׁ׃
02-02A,חַיָּ֖ה הֽ͏ָרֹמֶ֥שֶׂת עַל־הָאָֽרֶץ׃ ,שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה, 14וְשֵׁ֨ם הַנָּהָ֤ר הַשְּׁלִישִׁי֙ חִדֶּ֔קֶל
02-02A,29וַיֹּ֣אמֶר אֱלֹהִ֗ים הִנֵּה֩ נָתַ֨תִּי לָכֶ֜ם,בָאָ֔רֶץ וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה,ה֥וּא הַֽהֹלֵ֖ךְ קִדְמַ֣ת אַשּׁ֑וּר
02-02A,אֶת־כָּל־עֵ֣שֶׂב ׀ זֹרֵ֣עַ זֶ֗רַע אֲשֶׁר֙,טֶ֣רֶם יִצְמָ֑ח כִּי֩ לֹ֨א הִמְטִ֜יר,וְהַנָּהָ֥ר הָֽרְבִיעִ֖י ה֥וּא פְרָֽת׃
02-02A,עַל־פְּנֵ֣י כָל־הָאָ֔רֶץ וְאֶת־כָּל־,יְהוָ֤ה אֱלֹהִים֙ עַל־הָאָ֔רֶץ, 15וַיִּקַּ֛ח יְהוָ֥ה אֱלֹהִ֖ים אֶת־ה
02-02A,הָעֵ֛ץ אֲשֶׁר־בּ֥וֹ פְרִי־עֵ֖ץ זֹרֵ֣עַ,וְאָדָ֣ם אַ֔יִן לַֽעֲבֹ֖ד אֶת־,ָֽאָדָ֑ם וַיַּנִּחֵ֣הוּ בְגַן־עֵ֔דֶן
02-02A,זָ֑רַע לָכֶ֥ם יִֽהְיֶ֖ה לְאָכְלָֽה׃,הֽ͏ָאֲדָמָֽה׃ 6וְאֵ֖ד יַֽעֲלֶ֣ה מִן־,לְעָבְדָ֖הּ וּלְשָׁמְרָֽהּ׃ 16וַיְצַו֙ יְהוָ֣ה
02-02A, 30וּֽלְכָל־חַיַּ֣ת הָ֠אָרֶץ וּלְכָל־ע֨וֹף,הָאָ֑רֶץ וְהִשְׁקָ֖ה אֶֽת־כָּל־פְּנֵֽי־,אֱלֹהִ֔ים עַל־הָֽאָדָ֖ם לֵאמֹ֑ר
02-02A,הַשָּׁמַ֜יִם וּלְכֹ֣ל ׀ רוֹמֵ֣שׂ עַל־,הָֽאֲדָמָֽה׃ 7וַיִּיצֶר֩ יְהוָ֨ה אֱלֹהִ֜ים,מִכֹּ֥ל עֵֽץ־הַגָּ֖ן אָכֹ֥ל תֹּאכֵֽל׃
02-02A,הָאָ֗רֶץ אֲשֶׁר־בּוֹ֙ נֶ֣פֶשׁ חַיָּ֔ה,אֶת־הָֽאָדָ֗ם עָפָר֙ מִן־הָ֣אֲדָמָ֔ה, 17וּמֵעֵ֗ץ הַדַּ֙עַת֙ ט֣וֹב וָרָ֔ע לֹ֥א
02-02A,אֶת־כָּל־יֶ֥רֶק עֵ֖שֶׂב לְאָכְלָ֑ה,וַיִּפַּ֥ח בְּאַפָּ֖יו נִשְׁמַ֣ת חַיִּ֑ים וַֽיְהִ֥י,תֹאכַ֖ל מִמֶּ֑נּוּ כִּ֗י בְּי֛וֹם אֲכָלְךָ֥
02-02A,וַֽיְהִי־כֵֽן׃ 31וַיַּ֤רְא אֱלֹהִים֙ אֶת־,הָֽאָדָ֖ם לְנֶ֥פֶשׁ חַיָּֽה׃ 8וַיִּטַּ֞ע,מִמֶּ֖נּוּ מ֥וֹת תָּמֽוּת׃ 18וַיֹּ֙אמֶר֙
02-02A,כָּל־אֲשֶׁ֣ר עָשָׂ֔ה וְהִנֵּה־ט֖וֹב,יְהוָ֧ה אֱלֹהִ֛ים גַּן־בְּעֵ֖דֶן מִקֶּ֑דֶם,יְהוָ֣ה אֱלֹהִ֔ים לֹא־ט֛וֹב הֱי֥וֹת
02-02A,מְאֹ֑ד וֽ͏ַיְהִי־עֶ֥רֶב וֽ͏ַיְהִי־בֹ֖קֶר,וַיָּ֣שֶׂם שָׁ֔ם אֶת־הָֽאָדָ֖ם אֲשֶׁ֥ר,הָֽאָדָ֖ם לְבַדּ֑וֹ אֽ͏ֶעֱשֶׂהּ־לּ֥וֹ עֵ֖זֶר
02-02A,י֥וֹם הַשִּׁשִּֽׁי׃ פ ,יָצָֽר׃ 9וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙,כְּנֶגְדּֽוֹ׃ 19וַיִּצֶר֩ יְהוָ֨ה אֱלֹהִ֜ים מִן־
02-02A,2:1וַיְכֻלּ֛וּ הַשָּׁמַ֥יִם וְהָאָ֖רֶץ וְכָל־,מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ נֶחְמָ֥ד,הָֽאֲדָמָ֗ה כָּל־חַיַּ֤ת הַשָּׂדֶה֙
02-02A,צְבָאָֽם׃ 2וַיְכַ֤ל אֱלֹהִים֙ בַּיּ֣וֹם,לְמַרְאֶ֖ה וְט֣וֹב לְמַאֲכָ֑ל וְעֵ֤ץ,וְאֵת֙ כָּל־ע֣וֹף הַשָּׁמַ֔יִם וַיָּבֵא֙
02-02A,הַשְּׁבִיעִ֔י מְלַאכְתּ֖וֹ אֲשֶׁ֣ר,הַֽחַיִּים֙ בְּת֣וֹךְ הַגָּ֔ן וְעֵ֕ץ הַדַּ֖עַת,אֶל־הָ֣אָדָ֔ם לִרְא֖וֹת מַה־יִּקְרָא־
,,,
03-02B,ל֑וֹ וְכֹל֩ אֲשֶׁ֨ר יִקְרָא־ל֧וֹ הֽ͏ָאָדָ֛ם,מִפְּרִ֥י עֵֽץ־הַגָּ֖ן נֹאכֵֽל׃ 3וּמִפְּרִ֣י,כִּ֥י עֵירֹ֖ם אָ֑תָּה הֲמִן־הָעֵ֗ץ
03-02B,נֶ֥פֶשׁ חַיָּ֖ה ה֥וּא שְׁמֽוֹ׃,הָעֵץ֮ אֲשֶׁ֣ר בְּתוֹךְ־הַגָּן֒ אָמַ֣ר,אֲשֶׁ֧ר צִוִּיתִ֛יךָ לְבִלְתִּ֥י אֲכָל־
03-02B, 20וַיִּקְרָ֨א הָֽאָדָ֜ם שֵׁמ֗וֹת לְכָל־,אֱלֹהִ֗ים לֹ֤א תֹֽאכְלוּ֙ מִמֶּ֔נּוּ,מִמֶּ֖נּוּ אָכָֽלְתָּ׃ 12וַיֹּ֖אמֶר הָֽאָדָ֑ם
03-02B,הַבְּהֵמָה֙ וּלְע֣וֹף הַשָּׁמַ֔יִם ,וְלֹ֥א תִגְּע֖וּ בּ֑וֹ פֶּן־תְּמֻתֽוּן׃,הָֽאִשָּׁה֙ אֲשֶׁ֣ר נָתַ֣תָּה עִמָּדִ֔י
03-02B,וּלְכֹ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה וּלְאָדָ֕ם, 4וַיֹּ֥אמֶר הַנָּחָ֖שׁ אֶל־הָֽאִשָּׁ֑ה,הִ֛וא נָֽתְנָה־לִּ֥י מִן־הָעֵ֖ץ וָאֹכֵֽל׃
03-02B,לֹֽא־מָצָ֥א עֵ֖זֶר כְּנֶגְדּֽוֹ׃ 21וַיַּפֵּל֩,לֹֽא־מ֖וֹת תְּמֻתֽוּן׃ 5כִּ֚י יֹדֵ֣עַ, 13וַיֹּ֨אמֶר יְהוָ֧ה אֱלֹהִ֛ים לָאִשָּׁ֖ה
03-02B,יְהוָ֨ה אֱלֹהִ֧ים ׀ תַּרְדֵּמָ֛ה עַל־,אֱלֹהִ֔ים כִּ֗י בְּיוֹם֙ אֲכָלְכֶ֣ם,מַה־זֹּ֣את עָשִׂ֑ית וַתֹּ֙אמֶר֙
03-02B,הָאָדָ֖ם וַיִּישָׁ֑ן וַיִּקַּ֗ח אַחַת֙,מִמֶּ֔נּוּ וְנִפְקְח֖וּ עֵֽינֵיכֶ֑ם,הָֽאִשָּׁ֔ה הַנָּחָ֥שׁ הִשִּׁיאַ֖נִי וָאֹכֵֽל׃
03-02B,מִצַּלְעֹתָ֔יו וַיִּסְגֹּ֥ר בָּשָׂ֖ר,וִהְיִיתֶם֙ כֵּֽאלֹהִ֔ים יֹדְעֵ֖י ט֥וֹב, 14וַיֹּאמֶר֩ יְהֹוָ֨ה אֱלֹהִ֥ים ׀ אֶֽל־הַנָּחָשׁ֮ כִּ֣י
03-02B,תַּחְתֶּֽנָּה׃ 22וַיִּבֶן֩ יְהוָ֨ה אֱלֹהִ֧ים ׀,וָרָֽע׃ 6וַתֵּ֣רֶא הָֽאִשָּׁ֡ה כִּ֣י טוֹב֩,עָשִׂ֣יתָ זֹּאת֒ אָר֤וּר אַתָּה֙ מִכָּל־
03-02B,אֶֽת־הַצֵּלָ֛ע אֲשֶׁר־לָקַ֥ח מִן־,הָעֵ֨ץ לְמַאֲכָ֜ל וְכִ֧י תַֽאֲוָה־,הַבְּהֵמָ֔ה וּמִכֹּ֖ל חַיַּ֣ת הַשָּׂדֶ֑ה עַל־
03-02B,הָֽאָדָ֖ם לְאִשָּׁ֑ה וַיְבִאֶ֖הָ אֶל־,ה֣וּא לָעֵינַ֗יִם וְנֶחְמָ֤ד הָעֵץ֙,גְּחֹנְךָ֣ תֵלֵ֔ךְ וְעָפָ֥ר תֹּאכַ֖ל כָּל־
03-02B,הֽ͏ָאָדָֽם׃ 23וַיֹּאמֶר֮ הֽ͏ָאָדָם֒ זֹ֣את,לְהַשְׂכִּ֔יל וַתִּקַּ֥ח מִפִּרְי֖וֹ,יְמֵ֥י חַיֶּֽיךָ׃ 15וְאֵיבָ֣ה ׀ אָשִׁ֗ית
03-02B,הַפַּ֗עַם עֶ֚צֶם מֵֽעֲצָמַ֔י וּבָשָׂ֖ר,וַתֹּאכַ֑ל וַתִּתֵּ֧ן גַּם־לְאִישָׁ֛הּ,בֵּֽינְךָ֙ וּבֵ֣ין הָֽאִשָּׁ֔ה וּבֵ֥ין זַרְעֲךָ֖
03-02B,מִבְּשָׂרִ֑י לְזֹאת֙ יִקָּרֵ֣א,עִמָּ֖הּ וַיֹּאכַֽל׃ 7וַתִּפָּקַ֙חְנָה֙,וּבֵ֣ין זַרְעָ֑הּ ה֚וּא יְשׁוּפְךָ֣
03-02B,אִשָּׁ֔ה כִּ֥י מֵאִ֖ישׁ לֻֽקֳחָה־זֹּֽאת׃,עֵינֵ֣י שְׁנֵיהֶ֔ם וַיֵּ֣דְע֔וּ כִּ֥י עֵֽירֻמִּ֖ם,רֹ֔אשׁ וְאַתָּ֖ה תְּשׁוּפֶ֥נּוּ עָקֵֽב׃ 
03-02B, 24עַל־כֵּן֙ יֽ͏ַעֲזָב־אִ֔ישׁ אֶת־אָבִ֖יו,הֵ֑ם וַֽיִּתְפְּרוּ֙ עֲלֵ֣ה תְאֵנָ֔ה,ס          16אֶֽל־הָאִשָּׁ֣ה אָמַ֗ר
03-02B,וְאֶת־אִמּ֑וֹ וְדָבַ֣ק בְּאִשְׁתּ֔וֹ ,וַיַּעֲשׂ֥וּ לָהֶ֖ם חֲגֹרֹֽת׃ 8וַֽיִּשְׁמְע֞וּ,הַרְבָּ֤ה אַרְבֶּה֙ עִצְּבוֹנֵ֣ךְ וְהֵֽרֹנֵ֔ךְ
